country,no_of_cancellation,percentage
PRT,34912,66.9235
GBR,2568,4.9227
ESP,2309,4.4262
FRA,1972,3.7802
ITA,1458,2.7949
DEU,1220,2.3386
IRL,898,1.7214
BRA,835,1.6006
USA,501,0.9604
BEL,491,0.9412
CHN,462,0.8856
CHE,428,0.8204
NLD,387,0.7418
CN,266,0.5099
RUS,243,0.4658
AUT,230,0.4409
SWE,227,0.4351
POL,215,0.4121
AGO,207,0.3968
NOR,181,0.3470
ISR,169,0.3240
ROU,134,0.2569
DNK,109,0.2089
LUX,109,0.2089
MAR,109,0.2089
AUS,107,0.2051
TUR,102,0.1955
NULL,96,0.1840
HUN,77,0.1476
FIN,69,0.1323
KOR,56,0.1073
ARG,54,0.1035
ARE,43,0.0824
CZE,37,0.0709
IND,35,0.0671
GRC,35,0.0671
SAU,33,0.0633
ZAF,31,0.0594
JPN,28,0.0537
HKG,26,0.0498
HRV,25,0.0479
PHL,25,0.0479
IRN,24,0.0460
IDN,24,0.0460
SVK,24,0.0460
COL,23,0.0441
DZA,21,0.0403
NGA,21,0.0403
MOZ,20,0.0383
UKR,20,0.0383
TUN,19,0.0364
EST,18,0.0345
THA,18,0.0345
SGP,16,0.0307
CHL,16,0.0307
GEO,15,0.0288
SVN,15,0.0288
MAC,15,0.0288
TWN,14,0.0268
VEN,12,0.0230
CPV,12,0.0230
BGR,12,0.0230
GIB,11,0.0211
CYP,11,0.0211
QAT,11,0.0211
EGY,11,0.0211
MEX,10,0.0192
URY,9,0.0173
BLR,9,0.0173
LVA,9,0.0173
PAK,9,0.0173
AZE,9,0.0173
LBN,9,0.0173
BGD,9,0.0173
MDV,9,0.0173
JEY,8,0.0153
TJK,8,0.0153
ECU,8,0.0153
SEN,8,0.0153
DOM,8,0.0153
LTU,7,0.0134
KWT,6,0.0115
NZL,6,0.0115
PER,6,0.0115
AND,5,0.0096
KAZ,5,0.0096
MLT,5,0.0096
OMN,4,0.0077
ISL,4,0.0077
BHR,4,0.0077
FRO,4,0.0077
GGY,3,0.0058
SRB,3,0.0058
BEN,3,0.0058
TZA,3,0.0058
JOR,3,0.0058
MYS,3,0.0058
BIH,3,0.0058
ALB,2,0.0038
KHM,2,0.0038
IMN,2,0.0038
ARM,2,0.0038
GAB,2,0.0038
MKD,2,0.0038
VNM,2,0.0038
GHA,2,0.0038
GLP,2,0.0038
KEN,2,0.0038
PRI,2,0.0038
UZB,2,0.0038
MNE,2,0.0038
MYT,2,0.0038
CIV,2,0.0038
ZWE,2,0.0038
HND,1,0.0019
ZMB,1,0.0019
MCO,1,0.0019
NIC,1,0.0019
VGB,1,0.0019
MUS,1,0.0019
CRI,1,0.0019
TMP,1,0.0019
FJI,1,0.0019
SYC,1,0.0019
LIE,1,0.0019
GNB,1,0.0019
ETH,1,0.0019
UMI,1,0.0019
